Exercise,Sleep,Diet,Social Interactions,Leisure Activities,Stress Level
4,4,3,4,4,moderate
4,4,4,2,2,moderate
4,4,1,3,2,moderate
2,6,2,3,4,low
1,9,4,2,1,moderate
4,7,2,4,3,high
4,9,2,2,1,moderate
2,7,4,2,1,moderate
1,7,1,4,2,low
3,7,2,4,4,low
1,5,3,1,3,moderate
3,6,4,1,1,high
4,4,4,2,3,moderate
1,4,4,4,2,low
3,8,1,4,1,moderate
4,4,4,3,3,low
1,8,4,1,3,high
1,9,4,2,1,low
4,7,4,4,4,moderate
3,7,1,3,1,moderate
1,4,3,3,1,moderate
2,7,4,3,3,high
2,8,3,2,2,high
4,6,2,3,3,low
4,6,2,4,2,high
1,9,3,4,2,low
2,9,2,4,2,high
2,9,3,4,2,high
1,9,2,3,4,moderate
2,7,1,1,4,high
2,5,1,4,4,moderate
3,6,1,1,4,low
4,9,3,2,2,moderate
4,5,1,2,3,high
3,9,1,4,1,high
3,8,1,2,3,moderate
4,9,2,3,3,high
4,6,2,1,1,moderate
2,6,2,3,2,high
4,4,4,4,2,low
1,4,1,3,1,moderate
1,9,1,4,4,low
2,9,2,2,4,high
3,7,2,1,2,high
1,5,2,3,3,moderate
2,9,2,1,2,low
4,8,4,2,1,low
2,8,1,4,3,high
4,6,1,2,2,low
1,5,3,3,2,moderate
2,7,1,4,2,low
4,7,4,4,1,moderate
2,6,3,4,2,high
2,6,3,3,4,moderate
2,8,2,1,1,high
2,7,1,2,2,low
2,6,3,4,4,moderate
1,5,3,1,3,low
1,9,1,1,3,moderate
3,4,1,4,3,moderate
1,8,2,1,2,moderate
1,7,3,4,2,moderate
4,9,2,1,3,moderate
2,4,4,1,4,low
4,8,4,4,2,low
3,7,4,4,1,moderate
2,7,4,2,1,moderate
1,9,3,1,1,low
4,5,3,1,4,low
3,5,2,2,2,moderate
4,8,1,3,1,low
2,8,1,2,2,low
2,4,1,3,4,low
1,9,3,1,2,high
1,9,1,3,2,moderate
4,5,4,1,3,low
4,5,3,4,1,low
2,8,3,1,4,low
3,5,2,1,4,moderate
1,9,2,4,3,low
1,7,2,4,1,high
2,5,2,1,1,low
2,9,2,1,3,low
1,6,2,3,2,high
2,9,3,1,2,high
3,5,4,4,1,moderate
3,8,2,1,3,high
2,6,4,2,1,low
4,8,4,1,3,low
2,5,4,4,4,low
3,5,4,3,3,low
3,7,3,1,2,moderate
1,5,2,1,3,moderate
1,5,4,2,1,high
4,5,1,2,3,moderate
1,4,4,1,4,high
1,6,4,2,3,moderate
1,5,1,4,4,moderate
4,4,1,3,1,low
3,6,3,1,1,high
2,8,4,1,3,high
4,8,2,1,2,high
4,7,4,4,4,moderate
4,4,1,1,2,low
1,7,2,1,4,low
1,5,2,1,3,high
3,5,4,2,2,high
1,8,3,2,2,high
4,4,2,4,2,high
1,8,3,3,3,moderate
3,8,2,1,3,low
3,4,2,1,4,high
3,6,1,4,3,high
1,6,2,2,3,moderate
4,6,4,2,3,high
2,8,1,3,1,high
2,5,1,1,4,high
2,6,3,4,4,high
4,5,3,4,1,low
3,5,2,1,4,low
4,4,1,2,2,high
2,9,1,4,2,high
3,7,1,2,1,moderate
1,9,3,3,4,moderate
3,8,2,3,3,moderate
1,7,3,3,3,high
2,5,2,2,2,low
3,9,4,1,3,high
3,5,3,2,2,moderate
3,8,2,2,4,low
2,9,4,1,2,moderate
4,4,4,4,4,high
2,8,1,1,4,high
1,9,2,3,4,low
4,5,4,2,1,high
4,8,3,3,1,moderate
2,6,2,4,3,low
1,8,2,3,4,high
1,4,2,2,2,low
1,7,1,3,3,moderate
4,7,1,2,4,moderate
2,6,1,3,4,low
3,7,3,3,1,high
4,5,4,2,1,high
3,8,2,2,2,low
3,9,2,4,3,moderate
4,4,3,3,3,moderate
2,4,1,2,4,moderate
4,9,2,2,3,high
3,6,4,1,1,high
4,7,3,3,2,moderate
2,5,1,3,4,low
4,9,1,2,1,low
1,5,2,1,2,high
4,5,3,3,1,high
3,4,2,3,1,high
2,4,4,1,2,moderate
2,6,3,3,4,moderate
3,6,3,3,2,low
3,7,3,4,2,low
1,5,2,1,4,moderate
4,5,3,1,3,low
4,9,2,3,2,high
2,8,3,4,4,moderate
2,9,3,3,4,high
1,7,4,2,2,high
3,9,2,3,3,moderate
3,6,4,1,1,moderate
4,6,1,2,4,low
4,5,2,2,2,low
3,9,1,3,4,low
3,5,2,4,2,low
4,7,4,1,4,low
1,5,3,3,4,moderate
4,5,3,1,1,moderate
3,4,1,1,2,moderate
3,5,2,2,4,high
4,9,3,4,2,moderate
3,9,3,4,3,moderate
1,7,3,2,3,moderate
1,8,3,3,1,high
2,8,1,4,4,low
1,5,3,4,4,low
1,8,2,3,1,low
4,7,1,3,3,low
3,6,2,1,2,high
4,9,2,4,4,moderate
3,8,2,2,1,moderate
1,8,4,2,4,high
1,5,1,2,1,high
1,5,1,3,2,low
3,4,1,2,1,moderate
4,9,2,4,2,moderate
4,6,2,3,1,moderate
1,9,4,4,4,high
3,6,4,2,1,moderate
3,8,1,4,1,moderate
3,5,1,2,2,high
1,7,4,1,4,low
3,5,2,2,2,low
1,7,3,3,1,moderate
3,5,4,4,3,moderate
3,9,3,2,4,low
3,6,2,3,2,high
3,7,4,2,4,high
3,8,2,2,4,moderate
4,7,2,4,1,high
4,8,4,4,4,high
2,6,4,3,4,high
2,7,4,2,3,moderate
4,6,1,3,3,high
3,8,3,3,3,low
2,8,3,1,4,moderate
2,6,2,3,2,low
3,4,4,1,3,low
2,8,2,4,2,low
3,7,3,3,4,moderate
1,6,4,3,4,low
1,6,1,4,1,high
4,7,4,1,2,high
4,8,4,4,1,moderate
4,5,1,2,4,low
1,6,2,3,2,low
3,7,2,2,2,high
3,6,1,1,4,moderate
3,4,2,2,1,high
1,5,2,3,2,high
1,5,3,4,1,high
1,7,3,1,1,moderate
4,9,2,3,2,moderate
1,4,1,4,4,moderate
3,9,1,1,3,low
3,7,3,3,4,high
1,8,1,4,2,high
4,4,4,3,2,moderate
4,5,2,3,1,low
2,5,1,2,1,low
3,8,3,3,1,high
4,7,1,4,4,moderate
2,5,4,3,1,high
1,7,2,3,1,low
2,6,2,1,4,moderate
3,9,4,4,2,low
4,9,4,2,3,moderate
3,9,4,1,3,moderate
3,4,3,3,4,moderate
3,7,2,2,1,low
3,9,1,1,4,moderate
1,4,2,1,3,high
2,6,4,2,4,low
3,7,1,2,1,low
4,6,4,1,3,low
4,4,2,2,3,moderate
4,6,1,1,3,high
3,8,2,2,1,low
2,7,3,2,2,moderate
4,5,3,2,3,high
2,9,2,3,1,moderate
1,8,1,2,4,moderate
1,5,3,2,1,high
1,6,2,3,3,low
4,7,4,3,1,low
1,5,1,1,1,low
2,8,2,2,3,moderate
4,7,1,3,3,moderate
4,6,2,2,2,high
1,9,3,3,3,low
4,7,2,2,4,moderate
2,8,4,4,4,high
2,6,2,1,2,low
1,8,4,3,1,low
1,5,3,3,1,low
4,7,2,2,4,high
1,4,1,1,1,low
4,7,3,3,3,high
1,5,1,1,2,high
2,9,1,2,2,high
4,9,1,1,2,high
4,4,1,4,1,high
2,7,4,2,1,low
1,6,4,4,4,high
4,4,2,4,2,low
2,6,2,3,2,moderate
3,4,3,2,2,moderate
1,6,4,3,1,moderate
1,4,3,3,3,high
4,6,4,4,1,high
2,6,1,3,2,high
3,4,3,4,1,low
3,5,2,1,4,low
3,4,1,3,4,high
2,7,2,1,3,moderate
3,5,1,4,1,low
2,8,4,4,1,low
1,4,2,1,1,moderate
3,7,3,2,4,moderate
2,5,2,3,2,high
2,8,4,3,2,high
1,5,2,2,1,low
4,6,2,4,1,moderate
3,9,3,4,4,moderate
2,6,3,2,2,high
2,7,1,4,2,low
2,4,2,4,2,low
3,6,2,3,4,high
4,8,2,1,1,low
2,7,2,4,1,moderate
4,5,2,2,2,moderate
4,9,2,2,3,high
2,7,1,1,4,high
1,6,4,4,2,moderate
4,5,3,2,2,low
3,7,4,1,4,low
1,4,3,4,1,high
3,6,3,3,3,high
4,5,3,3,3,low
2,6,2,2,3,low
2,4,2,4,3,high
4,9,2,2,2,high
2,4,1,3,1,moderate
1,6,4,2,4,moderate
1,6,3,4,1,high
1,6,4,4,2,moderate
4,6,3,2,2,moderate
1,9,3,4,2,high
4,8,3,4,2,low
4,8,1,2,2,high
4,9,1,2,1,high
3,8,3,1,3,low
2,4,1,2,3,high
3,8,2,2,3,moderate
4,7,2,2,4,low
4,8,2,1,3,low
1,5,3,4,4,low
1,4,2,2,1,low
2,4,2,1,3,moderate
1,9,4,1,2,low
1,5,4,3,2,moderate
2,6,1,2,2,high
3,9,1,2,1,low
2,6,2,1,3,low
4,8,2,2,2,high
1,5,3,1,3,moderate
1,4,3,1,3,high
1,8,2,2,4,low
1,6,2,1,1,moderate
2,5,1,1,3,high
3,8,3,1,1,moderate
2,7,2,2,1,moderate
3,5,2,2,4,high
4,9,4,3,1,low
1,4,4,1,3,low
1,8,1,1,1,low
2,8,4,4,1,moderate
3,9,3,4,2,low
1,5,3,1,4,low
2,8,2,1,1,low
3,4,4,3,1,low
4,4,1,2,2,low
2,4,1,3,3,low
1,7,3,2,3,moderate
3,4,4,2,1,low
4,5,4,4,2,low
3,5,2,1,2,high
4,9,3,4,1,high
3,4,2,3,4,low
3,6,1,3,1,moderate
2,8,2,1,4,moderate
2,4,2,1,3,high
2,9,4,4,2,moderate
1,9,4,4,1,low
2,5,4,3,4,high
4,6,3,3,3,moderate
1,8,3,4,1,low
2,9,1,1,2,high
3,8,4,2,1,low
2,7,4,1,1,high
1,5,2,1,2,low
3,6,3,4,2,low
4,6,3,4,1,high
4,6,2,2,4,high
4,7,3,4,1,low
4,6,2,3,3,low
2,4,3,1,2,high
4,8,2,4,3,high
3,9,3,4,2,moderate
3,4,4,1,3,high
2,5,3,2,2,moderate
4,6,3,3,1,low
3,4,2,4,4,high
1,6,2,3,3,moderate
4,6,1,2,1,moderate
3,4,1,4,4,moderate
1,6,1,4,4,moderate
4,7,4,3,4,moderate
4,5,1,1,4,high
2,9,4,2,4,moderate
2,4,4,1,3,high
4,4,4,1,2,moderate
1,8,1,4,1,low
2,7,2,2,2,moderate
3,8,4,3,1,high
2,5,2,2,3,high
2,6,4,3,2,high
1,7,3,1,1,high
3,9,4,1,2,moderate
1,5,1,3,3,high
2,6,3,3,2,high
3,5,2,1,4,moderate
2,6,1,2,4,moderate
4,9,2,3,4,moderate
2,9,2,2,3,moderate
4,8,1,1,1,moderate
1,5,3,3,1,low
2,8,2,1,1,low
4,9,1,2,1,moderate
4,7,2,4,3,low
2,7,1,1,1,low
1,7,4,1,3,moderate
2,6,1,2,1,low
4,4,2,1,3,moderate
2,6,4,1,3,moderate
3,4,4,1,2,moderate
1,6,3,2,1,low
4,5,2,3,4,low
2,6,1,1,4,high
2,7,1,4,4,moderate
1,8,2,1,1,low
3,8,3,4,1,low
4,9,2,2,2,low
1,5,3,1,4,moderate
4,5,3,3,2,high
2,8,4,2,3,moderate
1,4,4,3,4,moderate
4,8,1,4,1,low
3,4,1,4,3,moderate
4,8,3,1,4,moderate
4,7,2,3,1,low
1,5,2,3,3,low
1,6,1,4,1,low
2,7,3,4,2,moderate
3,7,2,1,3,moderate
4,7,3,4,4,low
1,6,3,1,3,moderate
4,9,3,2,2,high
3,7,1,3,2,high
1,8,1,4,4,moderate
3,8,3,4,2,low
3,6,2,4,3,high
2,4,4,1,4,low
1,8,4,2,2,moderate
1,7,2,1,3,high
2,8,4,1,1,high
2,7,3,2,4,high
2,4,4,2,4,high
4,4,4,3,3,moderate
4,8,2,1,1,moderate
1,4,1,1,4,low
1,6,1,1,2,high
4,7,1,3,2,low
2,7,3,4,4,moderate
3,4,1,2,2,high
2,6,4,2,3,high
3,8,2,3,4,high
3,5,2,4,4,low
1,4,2,4,4,moderate
4,4,3,2,4,low
3,4,4,3,3,high
4,5,1,2,1,low
2,9,4,4,4,low
2,9,2,1,2,low
4,6,3,4,2,moderate
2,4,3,1,2,moderate
2,4,2,3,1,moderate
4,9,1,3,1,high
4,7,4,3,1,moderate
1,9,3,1,4,high
2,4,1,4,1,low
3,4,3,3,4,high
3,6,3,1,2,moderate
1,4,2,3,1,low
1,7,3,4,4,moderate
1,7,3,4,1,moderate
3,7,4,2,4,low
4,4,4,3,4,high
1,9,4,1,3,low
4,8,4,3,3,high
2,7,3,2,4,low
3,6,3,3,1,high
1,8,2,1,1,high
2,7,1,2,4,moderate
3,4,4,2,4,low
2,7,2,4,3,high
1,5,3,3,2,low
3,9,2,3,1,low
3,4,3,4,2,moderate
2,6,1,2,4,low
1,8,4,1,1,low
1,6,2,2,2,moderate
1,8,1,4,2,moderate
2,5,3,2,1,moderate
4,6,1,3,3,moderate
2,5,1,3,4,moderate
4,5,3,2,4,moderate
3,4,2,1,3,moderate
3,6,4,3,2,moderate
4,6,1,1,3,low
2,8,3,1,2,low
4,5,4,1,3,high
3,7,2,4,4,low
4,5,1,3,1,moderate
4,7,1,2,2,low
4,8,3,1,1,high
3,7,4,1,4,high
4,7,3,3,3,moderate
1,7,2,1,3,high
3,9,4,3,1,moderate
4,8,4,2,2,low
4,8,1,4,3,low
1,5,2,4,3,moderate
2,5,1,3,1,low
1,7,3,4,3,high
1,9,2,2,2,moderate
4,9,4,1,3,high
3,6,2,3,3,high
2,5,2,4,1,low
1,9,1,1,2,high
3,6,4,1,3,high
1,6,2,2,3,moderate
1,5,4,4,2,moderate
4,7,2,3,1,low
1,9,3,2,3,low
1,5,4,2,2,high
3,9,3,1,2,moderate
1,7,4,3,2,high
4,5,3,2,3,high
3,9,2,2,1,moderate
1,7,1,3,1,moderate
3,8,1,4,2,high
3,7,3,4,1,high
1,4,4,4,3,low
4,8,2,4,3,low
3,7,4,2,4,low
2,6,2,4,3,moderate
1,9,2,2,1,moderate
3,9,2,2,3,low
2,4,4,2,4,low
2,5,2,1,3,moderate
2,9,3,4,4,high
1,4,2,1,3,low
1,4,4,2,1,high
4,7,3,2,1,high
2,9,4,4,4,low
4,6,1,1,4,moderate
4,4,2,3,4,high
2,4,4,1,3,high
4,5,2,4,2,low
1,7,3,4,3,moderate
1,8,3,2,4,low
2,4,1,2,1,low
2,5,2,3,4,high
4,8,2,2,1,low
4,8,3,3,1,moderate
2,5,2,3,2,high
3,7,3,2,1,moderate
2,4,2,4,3,high
2,7,3,1,4,low
3,6,2,3,2,moderate
4,4,4,2,4,low
3,8,1,2,2,moderate
1,6,1,2,3,low
2,9,2,1,4,high
4,8,1,3,1,high
4,7,4,4,1,high
3,4,2,4,1,high
3,7,4,2,1,high
1,9,3,2,1,moderate
3,8,2,3,4,low
2,8,3,1,2,high
1,7,4,4,4,high
1,8,4,1,1,low
3,6,1,3,1,low
3,4,1,1,3,moderate
3,5,2,1,1,high
2,4,2,3,4,low
4,7,3,2,2,moderate
1,9,4,3,2,low
1,7,3,3,3,moderate
4,7,3,3,3,moderate
4,9,1,4,3,high
1,9,4,4,3,high
3,7,3,3,3,moderate
4,6,1,2,2,low
3,8,1,1,4,low
3,7,4,3,4,moderate
1,8,1,1,4,high
3,9,3,3,2,high
1,7,4,3,4,low
2,5,1,3,4,moderate
1,9,4,4,1,moderate
2,8,2,4,2,moderate
4,9,3,4,2,high
3,5,1,3,2,low
1,4,2,2,4,moderate
1,9,4,4,4,low
4,8,1,4,3,moderate
1,4,1,4,1,low
2,9,1,4,1,moderate
2,4,1,4,1,high
3,8,1,1,1,high
4,8,3,2,1,high
1,5,1,1,3,high
2,6,1,1,3,low
3,9,1,1,3,low
1,6,4,4,3,moderate
2,7,2,4,1,low
3,8,4,2,3,low
1,4,2,3,4,low
3,4,3,1,2,low
2,8,3,4,1,low
4,9,3,4,3,low
1,8,2,3,3,moderate
3,9,4,1,3,moderate
1,8,4,2,2,low
2,9,1,2,4,moderate
1,9,4,2,2,high
4,8,4,1,3,high
3,4,2,1,2,low
2,8,4,1,4,high
3,6,1,2,3,low
4,4,1,4,2,high
1,9,4,4,1,moderate
2,5,3,3,3,low
4,9,3,2,3,high
1,7,3,3,4,low
1,8,4,3,2,moderate
2,4,1,2,4,low
4,4,1,1,3,moderate
2,5,3,2,3,moderate
3,7,2,2,2,high
2,8,4,4,1,low
2,8,4,3,2,low
2,4,3,2,2,low
3,8,1,1,3,high
2,6,4,3,2,low
2,6,4,4,1,high
3,4,1,3,1,moderate
2,4,2,2,4,low
4,6,1,3,3,high
1,9,1,4,1,low
2,8,4,1,1,high
3,5,1,4,2,high
3,6,4,3,4,low
2,8,3,3,3,high
2,7,1,4,4,moderate
3,4,4,2,4,moderate
1,8,4,2,3,low
2,8,1,4,3,high
1,5,4,1,4,high
4,8,4,3,1,moderate
2,7,1,2,4,high
3,5,4,1,2,low
4,4,4,2,4,low
1,9,1,3,1,low
3,4,4,2,1,high
4,7,4,2,4,high
2,7,2,3,1,low
3,9,2,3,3,low
1,6,1,3,2,high
4,8,4,1,1,moderate
2,9,4,4,4,moderate
2,4,4,2,4,high
3,8,4,1,3,high
2,8,1,4,3,low
3,5,3,4,2,low
1,6,4,3,2,moderate
1,4,2,2,4,moderate
1,6,3,4,1,high
3,4,1,4,1,low
1,8,4,1,2,high
2,6,1,1,1,low
1,9,2,4,1,low
1,9,3,1,2,low
3,9,1,4,4,low
3,9,4,2,4,high
1,4,4,3,4,high
1,7,3,1,3,moderate
3,8,3,2,1,high
4,9,3,2,3,high
1,5,1,3,2,low
1,6,4,2,3,low
2,4,3,2,2,high
2,8,4,1,1,moderate
3,6,1,4,2,moderate
4,6,4,3,2,high
4,5,3,2,3,moderate
2,6,4,4,2,moderate
2,6,4,3,2,high
1,5,1,1,4,high
4,8,2,1,2,low
2,7,2,2,2,high
3,7,4,1,1,high
4,5,4,3,1,low
2,4,2,3,2,high
4,5,2,1,1,high
3,4,4,1,3,high
4,6,2,4,2,low
3,7,1,1,2,moderate
3,8,1,1,2,low
2,6,2,3,3,high
3,7,4,1,4,moderate
1,8,1,3,4,moderate
2,7,2,4,3,moderate
2,6,2,3,1,high
3,8,4,1,4,high
4,7,3,3,1,high
3,8,2,4,2,low
1,4,3,1,4,moderate
2,9,4,1,1,moderate
4,6,1,3,1,moderate
1,7,3,1,4,moderate
4,7,3,2,4,low
1,7,1,1,4,moderate
2,9,4,1,4,moderate
4,6,4,1,4,high
4,9,2,3,3,low
3,8,4,2,2,low
1,9,2,3,1,low
2,6,2,2,1,low
4,8,2,4,2,moderate
3,5,4,4,3,low
3,7,4,4,4,high
2,9,2,1,2,low
2,9,3,2,2,moderate
3,7,4,4,1,high
1,4,4,3,2,moderate
4,6,4,3,1,moderate
1,8,3,1,1,high
3,4,4,3,3,moderate
4,8,4,2,4,moderate
2,9,2,3,1,low
2,9,4,1,3,high
2,8,1,1,3,high
1,8,2,3,1,low
4,5,4,4,1,low
3,5,3,4,2,moderate
3,6,2,2,4,high
2,6,1,4,2,high
3,7,4,3,1,low
2,9,1,2,2,low
3,5,1,1,3,moderate
2,5,3,4,2,moderate
2,7,4,2,3,high
4,5,3,4,1,low
4,4,1,1,2,moderate
1,6,4,2,4,low
4,8,3,3,4,low
3,6,2,2,1,low
2,4,2,1,3,high
1,6,1,3,4,low
2,8,4,3,4,high
1,5,1,4,3,high
1,9,4,3,3,moderate
3,5,4,4,2,high
1,9,1,2,4,high
1,9,4,4,1,low
2,7,2,4,2,moderate
1,4,2,1,2,low
3,6,1,1,1,low
2,6,1,4,3,low
3,5,1,2,4,moderate
3,7,4,4,2,high
4,7,4,4,1,low
3,4,3,4,3,high
1,8,4,4,2,moderate
2,5,4,3,1,moderate
1,8,2,3,1,moderate
3,7,4,3,2,low
3,9,1,3,2,low
3,5,2,3,2,moderate
3,9,1,4,4,low
4,4,1,3,3,moderate
4,6,3,1,2,moderate
2,8,4,1,1,high
4,8,1,2,1,moderate
2,8,1,2,1,high
4,4,2,3,4,low
1,9,3,1,2,moderate
